"region","year","sex","country","number"
"AT13","2020","MALE","PER",353
"AT13","2020","MALE","PRY",36
"AT13","2020","MALE","SLV",24
"AT13","2020","MALE","URY",73
"AT13","2020","MALE","VEN",324
"AT13","2020","FEMALE","ARG",412
"AT13","2020","FEMALE","BOL",156
"AT13","2020","FEMALE","BRA",1353
"AT13","2020","FEMALE","CHL",441
"AT13","2020","FEMALE","COL",693
"AT13","2020","FEMALE","CRI",49
"AT13","2020","FEMALE","CUB",275
"AT13","2020","FEMALE","DOM",382
"AT13","2020","FEMALE","ECU",214
"AT13","2020","FEMALE","GTM",85
"AT13","2020","FEMALE","HND",35
"AT13","2020","FEMALE","HTI",22
"AT13","2020","FEMALE","MEX",593
"AT13","2020","FEMALE","NIC",80
"AT13","2020","FEMALE","PAN",11
"AT13","2020","FEMALE","PER",613
"AT13","2020","FEMALE","PRY",55
"AT13","2020","FEMALE","SLV",45
"AT13","2020","FEMALE","URY",77
"AT13","2020","FEMALE","VEN",399
"AT13","2021","MALE","ARG",486
"AT13","2021","MALE","BOL",128
"AT13","2021","MALE","BRA",966
"AT13","2021","MALE","CHL",428
"AT13","2021","MALE","COL",584
"AT13","2021","MALE","CRI",50
"AT13","2021","MALE","CUB",232
"AT13","2021","MALE","DOM",244
"AT13","2021","MALE","ECU",174
"AT13","2021","MALE","GTM",105
"AT13","2021","MALE","HND",31
"AT13","2021","MALE","HTI",23
"AT13","2021","MALE","MEX",482
"AT13","2021","MALE","NIC",53
"AT13","2021","MALE","PAN",16
"AT13","2021","MALE","PER",361
"AT13","2021","MALE","PRY",37
"AT13","2021","MALE","SLV",27
"AT13","2021","MALE","URY",78
"AT13","2021","MALE","VEN",331
"AT13","2021","FEMALE","ARG",447
"AT13","2021","FEMALE","BOL",154
"AT13","2021","FEMALE","BRA",1400
"AT13","2021","FEMALE","CHL",461
"AT13","2021","FEMALE","COL",700
"AT13","2021","FEMALE","CRI",56
"AT13","2021","FEMALE","CUB",274
"AT13","2021","FEMALE","DOM",383
"AT13","2021","FEMALE","ECU",214
"AT13","2021","FEMALE","GTM",91
"AT13","2021","FEMALE","HND",44
"AT13","2021","FEMALE","HTI",21
"AT13","2021","FEMALE","MEX",635
"AT13","2021","FEMALE","NIC",78
"AT13","2021","FEMALE","PAN",15
"AT13","2021","FEMALE","PER",616
"AT13","2021","FEMALE","PRY",56
"AT13","2021","FEMALE","SLV",46
"AT13","2021","FEMALE","URY",83
"AT13","2021","FEMALE","VEN",427
"AT13","2022","MALE","ARG",498
"AT13","2022","MALE","BOL",128
"AT13","2022","MALE","BRA",1016
"AT13","2022","MALE","CHL",410
"AT13","2022","MALE","COL",617
"AT13","2022","MALE","CRI",56
"AT13","2022","MALE","CUB",243
"AT13","2022","MALE","DOM",251
"AT13","2022","MALE","ECU",185
"AT13","2022","MALE","GTM",107
"AT13","2022","MALE","HND",23
"AT13","2022","MALE","HTI",22
"AT13","2022","MALE","MEX",511
"AT13","2022","MALE","NIC",54
"AT13","2022","MALE","PAN",15
"AT13","2022","MALE","PER",401
"AT13","2022","MALE","PRY",37
"AT13","2022","MALE","SLV",28
"AT13","2022","MALE","URY",73
"AT13","2022","MALE","VEN",356
"AT13","2022","FEMALE","ARG",486
"AT13","2022","FEMALE","BOL",162
"AT13","2022","FEMALE","BRA",1468
"AT13","2022","FEMALE","CHL",463
"AT13","2022","FEMALE","COL",774
"AT13","2022","FEMALE","CRI",65
"AT13","2022","FEMALE","CUB",280
"AT13","2022","FEMALE","DOM",389
"AT13","2022","FEMALE","ECU",239
"AT13","2022","FEMALE","GTM",95
"AT13","2022","FEMALE","HND",40
"AT13","2022","FEMALE","HTI",23
"AT13","2022","FEMALE","MEX",679
"AT13","2022","FEMALE","NIC",76
"AT13","2022","FEMALE","PAN",14
"AT13","2022","FEMALE","PER",648
"AT13","2022","FEMALE","PRY",59
"AT13","2022","FEMALE","SLV",48
"AT13","2022","FEMALE","URY",84
"AT13","2022","FEMALE","VEN",450
"AT13","2023","MALE","ARG",565
"AT13","2023","MALE","BOL",144
"AT13","2023","MALE","BRA",1111
"AT13","2023","MALE","CHL",452
"AT13","2023","MALE","COL",651
"AT13","2023","MALE","CRI",56
"AT13","2023","MALE","CUB",251
"AT13","2023","MALE","DOM",260
"AT13","2023","MALE","ECU",188
"AT13","2023","MALE","GTM",115
"AT13","2023","MALE","HND",28
"AT13","2023","MALE","HTI",23
"AT13","2023","MALE","MEX",560
"AT13","2023","MALE","NIC",54
"AT13","2023","MALE","PAN",19
"AT13","2023","MALE","PER",415
"AT13","2023","MALE","PRY",39
"AT13","2023","MALE","SLV",32
"AT13","2023","MALE","URY",69
"AT13","2023","MALE","VEN",376
"AT13","2023","FEMALE","ARG",543
"AT13","2023","FEMALE","BOL",169
"AT13","2023","FEMALE","BRA",1559
"AT13","2023","FEMALE","CHL",493
"AT13","2023","FEMALE","COL",835
"AT13","2023","FEMALE","CRI",70
"AT13","2023","FEMALE","CUB",288
"AT13","2023","FEMALE","DOM",396
"AT13","2023","FEMALE","ECU",241
"AT13","2023","FEMALE","GTM",99
"AT13","2023","FEMALE","HND",42
"AT13","2023","FEMALE","HTI",25
"AT13","2023","FEMALE","MEX",735
"AT13","2023","FEMALE","NIC",81
"AT13","2023","FEMALE","PAN",17
"AT13","2023","FEMALE","PER",684
"AT13","2023","FEMALE","PRY",60
"AT13","2023","FEMALE","SLV",47
"AT13","2023","FEMALE","URY",89
"AT13","2023","FEMALE","VEN",475
"AT13","2024","MALE","ARG",636
"AT13","2024","MALE","BOL",141
"AT13","2024","MALE","BRA",1157
"AT13","2024","MALE","CHL",513
"AT13","2024","MALE","COL",671
"AT13","2024","MALE","CRI",62
"AT13","2024","MALE","CUB",250
"AT13","2024","MALE","DOM",257
"AT13","2024","MALE","ECU",208
"AT13","2024","MALE","GTM",124
"AT13","2024","MALE","HND",29
"AT13","2024","MALE","HTI",23
"AT13","2024","MALE","MEX",569
"AT13","2024","MALE","NIC",55
"AT13","2024","MALE","PAN",17
"AT13","2024","MALE","PER",438
"AT13","2024","MALE","PRY",41
"AT13","2024","MALE","SLV",37
"AT13","2024","MALE","URY",73
"AT13","2024","MALE","VEN",414
"AT13","2024","FEMALE","ARG",579
"AT13","2024","FEMALE","BOL",174
"AT13","2024","FEMALE","BRA",1662
"AT13","2024","FEMALE","CHL",583
"AT13","2024","FEMALE","COL",908
"AT13","2024","FEMALE","CRI",75
"AT13","2024","FEMALE","CUB",290
"AT13","2024","FEMALE","DOM",420
"AT13","2024","FEMALE","ECU",252
"AT13","2024","FEMALE","GTM",98
"AT13","2024","FEMALE","HND",44
"AT13","2024","FEMALE","HTI",26
"AT13","2024","FEMALE","MEX",786
"AT13","2024","FEMALE","NIC",78
"AT13","2024","FEMALE","PAN",19
"AT13","2024","FEMALE","PER",704
"AT13","2024","FEMALE","PRY",60
"AT13","2024","FEMALE","SLV",51
"AT13","2024","FEMALE","URY",96
"AT13","2024","FEMALE","VEN",504
